Iwatate Saho,?? ??,,13th Generation,,1994,,1
Fukuoka Seina,?? ??,,15th Generation,,2000,,2
Mukaichi Mion,브라이언,,15th Generation,,1998,,3
Oguri Yui,蔡锦昕,,Team 8,,2001,,4
Kuranoo Narumi,차웅기,,Team 8,,2000,,5
Shitao Miu,陈建宇,,Team 8,,2001,,6
Takahashi Ayane,陈冠叡,,Team 8,,1997,,7
Nagano Serika,陈梁,,Team 8,,2001,,8
Hashimoto Haruna,駱駝,,Team 8,,2000,,9
Chiba Erii,陈誉庚,,Draft 2nd Generation,,2003,,10
Suzuki Kurumi,최지호,,16th Generation,,2004,,11
Taguchi Manaka,최승훈,,16th Generation,,2003,,12
Nagatomo Ayami,최우진,,16th Generation,,2000,,13
Muto Orin,콩심쿵,,16th Generation,,2000,,14
Yamauchi Mizuki,당홍하이,,16th Generation,,2001,,15
Omori Maho,文哲,,Draft 3rd Generation,,1999,,16
Tokunaga Remi,冯俊岚,,Team 8,,2006,,17
Sakagawa Hiyuka,한서빈,,Team 8,,2006,,18
Ota Yuki,한유진,,17th Generation,,2004,,19
Sato Airi,한유섭,,17th Generation,,2004,,20
Hashimoto Eriko,ハル,,17th Generation,,2006,,21
Hatakeyama Nozomi,ハルト,,17th Generation,,2008,,22
Hirata Yuki,ヒロト,,17th Generation,,2002,,23
Hotei Moka,홍건희,,17th Generation,,2004,,24
Masai Mayuu,효,,17th Generation,,2005,,25
Mizushima Miyuu,上原一翔,,17th Generation,,2003,,26
Yamazaki Sora,渡邊樹,,17th Generation,,2004,,27
Akiyama Yuna,장지호,,18th Generation,,2005,,28
Arai Sae,장민서,,18th Generation,,2005,,29
Kudo Kasumi,장여준,,18th Generation,,2005,,30
Kubo Hinano,제이,,18th Generation,,2006,,31
Sako Yumemi,전호영,,18th Generation,,2006,,32
Narita Kohina,전우석,,18th Generation,,2004,,33
Yagi Azuki,정이찬,,18th Generation,,2005,,34
Yamaguchi Yui,지윤서,,18th Generation,,2009,,35
Ito Momoka,조은우,,19th Generation,,2003,,36
Okumoto Kairi,정호진,,19th Generation,,2007,,37
Kawamura Yui,정환록,,19th Generation,,2006,,38
Shiratori Sari,정민규,,19th Generation,,2010,,39
Hanada Mei,정세윤,,19th Generation,,2005,,40
Oga Saki,敬,,20th Generation Kenkyuusei,,2006,,41
Kondo Saki,케이타,,20th Generation Kenkyuusei,,2012,,42
Maruyama Hinata,김규빈,,20th Generation Kenkyuusei,,2008,,43
Takahashi Mao,김지웅,,21st Generation Kenkyuusei,,2010,,44
Tanaka Sayuri,김민혁,,21st Generation Kenkyuusei,,2008,,45
Makito Ema,김민성,,21st Generation Kenkyuusei,,2007,,46
Morikawa Yu,김태래,,21st Generation Kenkyuusei,,2008,,47
Watanabe Kiko,王南钧,,21st Generation Kenkyuusei,,2007,,48
